Index,Title,Price,Rating
1,Hybrid Active Noise Cancelling Bluetooth Headphones Wireless Headphones,"8,591.",4.3 out of 5 stars
4,BERIBES Bluetooth Headphones Over Ear Wireless HiFi Stereo Headsets 65H 6EQ,"5,530.",4.5 out of 5 stars
5,"Raycon The Everyday Wireless Bluetooth Over Ear Headphones, with Active Noise Cancelling, Awareness Mode and Built in Microphone, IPX 4 Water Resistance, 40 Hours of Battery Life (Black)","26,333.",4.5 out of 5 stars
6,"Wireless Earbuds Bluetooth Headphones, 54H Playtime Stereo Over Ear Buds with ENC Noise Cancelling, LED Power Display, IPX7 Waterproof Sport Earphones with Earhooks for Running/Workouts (Black)","5,818.",4.8 out of 5 stars
8,"Hybrid ANC Wireless Over-Ear Headphones, 100H Playtime, Hi-Res Audio, Bluetooth 6.0, Multi-Mode Noise Cancellation, Comfort Fit, iOS & Android Compatible, Foldable Design, Travel-Friendly (Black)","8,313.",4.8 out of 5 stars
9,"Bluetooth Headphones, Hybrid Active Noise Cancelling Over Ear Headphones","5,541.",4.9 out of 5 stars
10,TAGRY Hybrid Active Noise Cancelling Wireless Ear Buds 80 Hrs Playtime Hi-Res Stereo Quality Bluetooth Earbuds with Transparency Mode Headphones Bluetooth Earhooks ANC Earphones for Work,"27,719.",4.5 out of 5 stars
11,"Wireless Earbuds, Bluetooth 5.3 Headphones HiFi Stereo 50H Playback LED Digital Display Ear Buds with ENC Noise Canceling Headset, IPX7 Waterproof Earphones for Gym/Running/Work(Black)","5,536.",4.7 out of 5 stars
13,BERIBES Bluetooth Headphones Over Ear Wireless HiFi Stereo Headsets 65H 6EQ,"5,530.",4.5 out of 5 stars
14,"Aptkdoe Wireless Earbuds 75H Bluetooth 5.4 Sport Headphones with Earhooks | IPX7 Waterproof In-ear Buds Feature ENC Noise Cancelling Mic. Stereo Sound Device for Gym Running Workout, Royal Blue","7,108.",4.3 out of 5 stars
15,Marshall Major V Wireless On-Ear Bluetooth Headphones - Black,"36,036.",4.6 out of 5 stars
16,"TALIX H30 Hybrid Active Noise Cancelling Headphones, 110H Playtime Hi-Res Audio Bluetooth 6.0 Wireless Over Ear ANC Headphones for Commute/Travel (Purple)","11,086.",4.4 out of 5 stars
17,"Wireless Sports Earbuds with Secure Earhooks, 48H Deep Bass/ENC Mic Ear Bud","11,086.",4.4 out of 5 stars
18,Skullcandy Crusher Evo Wireless Multi-Sensory Bass Headphones - Primer,"46,011.",4.7 out of 5 stars
19,"Raycon The Everyday Wireless Bluetooth Over Ear Headphones, with Active Noise Cancelling, Awareness Mode and Built in Microphone, IPX 4 Water Resistance, 40 Hours of Battery Life (Black)","26,333.",4.5 out of 5 stars
